ID,sp,Stage,t (¡C),Day 1,Day 4,Day 6,Day 7,Day 9,Day 10,Day 13,Day 15,Day 17,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 33,Day 35,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 46,Day 47,Day 48,Day 49,Day 50,Day 52,Day 53,Day 54,Day 55,Day 57,Day 59,Day 60,Day 67,Day 76
P_2,Myrmeleon_almohadarum,2,29,39.11,52.58,"51, 67",51.38,53.84,54.16,57.61,56.86,P,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,
P_20,Myrmeleon_almohadarum,2,29,0,0,0,35.54,34.31,34.87,36.35,42.57,52,44.24,NA,0,NA,35.53,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,
P_22,Myrmeleon_almohadarum,2,29,0,0,0,32.28,33.47,37.32,41.59,44.06,46.07,44.04,NA,0,NA,18.12,6.25,0,0,0,0,0,0,0,0,0,0,0,P,,,,,,,,,,I,,,,,,,,
P_23,Myrmeleon_almohadarum,1,29,40.18,38.73,0,0,0,0,51.78,56.52,50.24,42.77,NA,41.49,0,0,27.94,0,0,0,0,0,0,0,P,,,,,,,,,,,,,I,,,,,,,,,
P_25,Myrmeleon_almohadarum,2,29,30.66,18.23,23.71,37.9,37.64,37.45,38.34,0,45,43.19,NA,41.49,NA,52.4,53.79,NA,51.37,48.23,NA,44.75,NA,73.85,52.77,50.86,0,0,0,P,,,,,,,,,,,,,,,I,,
P_4,Myrmeleon_almohadarum,3,29,48.56,55.8,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_6,Myrmeleon_almohadarum,3,29,37.31,35.03,0,0,0,0,18.04,29.58,0,0,0,0,0,0,0,0,0,5.38,NA,27.39,0,0,0,12.07,22.48,23.48,NA,0,0,0,0,0,0,P,,,,,,,,,,_,
P_8,Myrmeleon_almohadarum,2,29,23.25,26.92,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_1,Myrmeleon_hyalinus,2,33,36.95,19.56,0,0,0,37.17,44.78,47.62,39.16,47.48,NA,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,
D_101,Myrmeleon_hyalinus,3,33,17.51,20.09,0,0,0,P,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
